"CYP4A11","http://www.cypalleles.ki.se/","unknown","unknown"
"CYP4A22","http://www.cypalleles.ki.se/","unknown","unknown"
"CYP4B1","http://www.cypalleles.ki.se/","unknown","unknown"
"CYP4F2","http://www.cypalleles.ki.se/","unknown","unknown"
"DAG1","http://www.dmd.nl","unknown","Unknown"
"DARC","http://www.ncbi.nlm.nih.gov/gv/mhc/xslcgi.cgi?cmd=bgmut/home","unknown","unknown"
"DCLRE1C","http://bioinf.uta.fi/DCLRE1Cbase/","MUTbase","MUTbase"
"DCTN1","http://www.molgen.ua.ac.be/CMTMutations/","unknown","unknown"
"DDP","http://hearing.harvard.edu/genepages/ddpdream.htm","unknown","unknown"
"DES","http://www.DMD.nl/DES","unknown","Unknown"
"DFNA5","http://webh01.ua.ac.be/hhh/","unknown","Unknown"
"DFNA5","http://hereditaryhearingloss.org/","unknown","unknown"
"DFNB1","http://www.umd.be/DFNB1-GJB2/","UMD","UMD"
"DIAPH1","http://webh01.ua.ac.be/hhh/","unknown","Unknown"
"DIAPH1","http://hereditaryhearingloss.org/","unknown","unknown"
"DKC1","http://bioinf.uta.fi/DKC1base/","MUTbase","MUTbase"
"DMD","http://www.dmd.nl","unknown","Unknown"
"DMD","http://www.umd.be/DMD/","UMD","UMD"
"DNM2","http://www.molgen.ua.ac.be/CMTMutations/","unknown","unknown"
"DNMT3B","http://bioinf.uta.fi/DNMT3Bbase/","MUTbase","MUTbase"
"DPYD","http://www.umd.be/","UMD","UMD"
"DPYD","http://www.umd.be/DPYD/","UMD","UMD"
"DSPP","http://hearing.harvard.edu/genepages/dsppdream.htm","unknown","unknown"
"DTNA","http://www.dmd.nl","unknown","Unknown"
"DYSF","http://www.dmd.nl","unknown","Unknown"
"EDN3","http://hearing.harvard.edu/genepages/edn3dream.htm","unknown","unknown"
"EDNRB","http://hearing.harvard.edu/genepages/ednrbdream.htm","unknown","unknown"
"EFEMP1","http://www.retina-international.org/sci-news/efempmut.htm","unknown","unknown"
"EGR2","http://www.molgen.ua.ac.be/CMTMutations/","unknown","unknown"
"ELA2","http://bioinf.uta.fi/ELA2base/","MUTbase","MUTbase"
"ELANE","http://bioinf.uta.fi/ELA2base/","MUTbase","MUTbase"
"ELOVL4","http://www.retina-international.org/sci-news/elovlmut.htm","unknown","unknown"
"EMD","http://www.dmd.nl","unknown","Unknown"
"EMD","http://www.umd.be/","UMD","UMD"
"EMD","http://www.umd.be/EMD/","UMD","UMD"
"ENG","http://hhtmutation.org/","unknown","unknown"
"ERCC6","http://umd.be/CSB/","UMD","UMD"
"ERCC8","http://umd.be/CSA/","UMD","UMD"
"ERMAP","http://www.ncbi.nlm.nih.gov/gv/mhc/xslcgi.cgi?cmd=bgmut/home","unknown","unknown"
"EYA1","http://hearing.harvard.edu/genepages/eya1dream.htm","unknown","unknown"
"EYA4","http://webh01.ua.ac.be/hhh/","unknown","Unknown"
"EYA4","http://hearing.harvard.edu/genepages/eya4dream.htm","unknown","unknown"
"F12","http://bioinf.uta.fi/F12base/","MUTbase","MUTbase"
"F7","http://europium.csc.mrc.ac.uk/","unknown","unknown"
"F8","http://europium.csc.mrc.ac.uk/","unknown","unknown"
"F9","http://www.kcl.ac.uk/ip/petergreen/haemBdatabase.html","unknown","unknown"
"FANCA","http://www.rockefeller.edu/fanconi/mutate/","unknown","Unknown"
"FANCB","http://www.rockefeller.edu/fanconi/mutate/","unknown","Unknown"
"FANCC","http://www.rockefeller.edu/fanconi/mutate/","unknown","Unknown"
"FANCD2","http://www.rockefeller.edu/fanconi/mutate/","unknown","Unknown"
"FANCE","http://www.rockefeller.edu/fanconi/mutate/","unknown","Unknown"
"FANCF","http://www.rockefeller.edu/fanconi/mutate/","unknown","Unknown"
"FANCG","http://www.rockefeller.edu/fanconi/mutate/","unknown","Unknown"
"FANCI","http://www.rockefeller.edu/fanconi/mutate/","unknown","Unknown"
"FANCL","http://www.rockefeller.edu/fanconi/mutate/","unknown","Unknown"
"FANCM","http://www.rockefeller.edu/fanconi/mutate/","unknown","Unknown"
"FAS","http://research.nhgri.nih.gov/ALPS/","unknown","unknown"
"FASLG","http://bioinf.uta.fi/FASLGbase/","MUTbase","MUTbase"
"FBN1","http://www.umd.be/","UMD","UMD"
"FBN1","http://www.umd.be/FBN1/","UMD","UMD"
"FBN2","http://www.umd.be/FBN2/","UMD","UMD"
"FCGR1A","http://bioinf.uta.fi/FCGR1Abase/","MUTbase","MUTbase"
"FCGR3A","http://bioinf.uta.fi/FCGR3Abase/","MUTbase","MUTbase"
"FGA","http://www.geht.org/databaseang/fibrinogen/","unknown","unknown"
"FGB","http://www.geht.org/databaseang/fibrinogen/","unknown","unknown"
"FGD4","http://www.molgen.ua.ac.be/CMTMutations/Mutations/Mutations.cfm?Context=41","unknown","unknown"
"FGG","http://www.geht.org/databaseang/fibrinogen/","unknown","unknown"
"FHL1","http://www.dmd.nl","unknown","Unknown"
"FIG4","http://www.molgen.ua.ac.be/CMTMutations/Mutations/Mutations.cfm?Context=42","unknown","unknown"
"FKRP","http://www.dmd.nl","unknown","Unknown"
"FKTN","http://www.dmd.nl","unknown","Unknown"
"FLCN","http://skingenedatabase.com/","unknown","unknown"
"FLJ13782","http://hearing.harvard.edu/genepages/flj13782dream.htm","unknown","unknown"
"FOXL2","http://medgen.ugent.be/foxl2/","unknown","Unknown"
"FOXN1","http://bioinf.uta.fi/FOXN1base/","MUTbase","MUTbase"
"FOXP3","http://bioinf.uta.fi/FOXP3base/","MUTbase","MUTbase"
"FSCN2","http://www.retina-international.org/sci-news/fscn2mut.htm","unknown","unknown"
"FUT1","http://www.ncbi.nlm.nih.gov/gv/mhc/xslcgi.cgi?cmd=bgmut/home","unknown","unknown"
"FUT2","http://www.ncbi.nlm.nih.gov/gv/mhc/xslcgi.cgi?cmd=bgmut/home","unknown","unknown"
"FUT3","http://www.ncbi.nlm.nih.gov/gv/mhc/xslcgi.cgi?cmd=bgmut/home","unknown","unknown"
"FUT6","http://www.ncbi.nlm.nih.gov/gv/mhc/xslcgi.cgi?cmd=bgmut/home","unknown","unknown"
"FUT7","http://www.ncbi.nlm.nih.gov/gv/mhc/xslcgi.cgi?cmd=bgmut/home","unknown","unknown"
"G6PD","http://www.bioinf.org.uk/g6pd/","unknown","unknown"
"GALT","http://arup.utah.edu/database/galactosemia/GALT_welcome.php","unknown","unknown"
"GAN","http://www.molgen.ua.ac.be/CMTMutations/","unknown","unknown"
"GARS","http://www.molgen.ua.ac.be/CMTMutations/","unknown","unknown"
"GCH1","http://www.bh4.org/","unknown","unknown"
"GDAP1","http://www.molgen.ua.ac.be/CMTMutations/","unknown","unknown"
"GFI1","http://bioinf.uta.fi/GFI1base/","MUTbase","MUTbase"
"GJA1","http://webh01.ua.ac.be/hhh/","unknown","Unknown"
"GJA1","http://davinci.crg.es/deafness/","unknown","unknown"
"GJA1","http://hereditaryhearingloss.org/","unknown","unknown"
"GJB1","http://www.molgen.ua.ac.be/CMTMutations/","unknown","unknown"
"GJB1","http://davinci.crg.es/deafness/","unknown","unknown"
